task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	0f/caae25	17184224	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-05 00:31:29.335	34.4s	5.2s	28.6%	70.2 MB	401.8 MB	19.8 MB	912.4 KB
2	1d/26317f	17184250	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-07-05 00:32:03.964	3m 35s	1m 59s	939.6%	11 GB	49.1 GB	39.7 GB	287.5 MB
3	13/e19df4	17184252	preprocessing (preprocessing)	COMPLETED	0	2026-07-05 00:32:04.119	5m 45s	4m 50s	236.6%	55.7 GB	106.5 GB	62.3 GB	43.2 GB
4	a9/1751e4	17184460	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-07-05 00:37:49.343	12m 29s	9m 5s	199.2%	9.3 GB	39.6 GB	91 MB	131.6 MB
5	a0/ad3750	17184705	postprocessing (postprocessing)	COMPLETED	0	2026-07-05 00:50:18.905	3m 5s	2m 27s	656.4%	57.2 GB	107.2 GB	287.6 MB	394.9 MB
6	09/952699	17184749	curation (curation)	COMPLETED	0	2026-07-05 00:53:23.886	1m 5s	26.9s	26.4%	1.7 GB	2.8 GB	196 MB	319.1 KB
7	cb/2d96ec	17184760	visualization (visualization)	COMPLETED	0	2026-07-05 00:54:28.898	3m 5s	2m 1s	59.1%	3.1 GB	16.1 GB	3.6 GB	69.9 MB
8	b1/88358b	17184850	results_collector (result-collector)	COMPLETED	0	2026-07-05 00:57:33.908	1m 5s	39.6s	10.4%	233.5 MB	887.1 MB	154.1 MB	113.9 MB
10	d1/b6177c	17184892	nwb_units (nwb-units)	COMPLETED	0	2026-07-05 00:58:39.187	34.6s	21.5s	52.4%	868.9 MB	1.7 GB	115.7 MB	252.3 MB
9	62/ce26d2	17184891	quality_control (quality-control)	COMPLETED	0	2026-07-05 00:58:39.090	2m 5s	1m 4s	58.9%	737.7 MB	3.3 GB	2.3 GB	6.6 MB
11	8a/4f5cfb	17184946	quality_control_collector (qc-collector)	COMPLETED	0	2026-07-05 01:00:43.929	1m 35s	1s	77.0%	6.3 MB	12.8 MB	11.3 MB	3.4 MB
